"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2003,805052.908685922,150536.06167502,4305348.35687955,13.5986632793166,0.855477623882393,"index",0.2,5
2004,17235.4864534448,1283.84483876754,231384.653594162,9.75472570329561,1.32508101624047,"index",0.2,5
2005,54604.9695311665,5729.60868611746,520402.502307728,10.9078801746455,1.15026484015925,"index",0.2,5
2006,16190.6398398746,755.406380041675,347014.302963753,9.6921885665748,1.56376991342506,"index",0.2,5
2007,33904.3971159769,4583.54717902558,250790.075655388,10.431299993393,1.02097361920785,"index",0.2,5
2008,5080.91430929098,351.279769370851,73490.3984496296,8.53324650652158,1.3631186888542,"index",0.2,5
2009,39376.2799306608,6317.5511206093,245426.018971133,10.5809188817751,0.933604885127527,"index",0.2,5
2010,23127.5791187253,1312.61497798752,407495.66694186,10.0487810856201,1.46380470016045,"index",0.2,5
2011,450145.603051465,52547.5469577772,3856146.96932255,13.0173263717481,1.09586333913838,"index",0.2,5
2012,49805.9158129582,3272.08832207102,758118.059721994,10.8158890473825,1.38916091224252,"index",0.2,5
2013,363590.697503907,56993.8559980682,2319516.60396268,12.8037840565355,0.94546905945873,"index",0.2,5
2014,47416.8965176446,8900.07537364683,252622.812838465,10.766733910781,0.853545728055888,"index",0.2,5
2015,8968.13769382286,678.995340293671,118450.729957264,9.10143331853944,1.31676861103716,"index",0.2,5
2016,2053481.45116895,103185.762416032,40865968.0518072,14.5350471795495,1.52592651789172,"index",0.2,5
2017,63911.8956848389,7561.24983308701,540218.945306567,11.0652607839919,1.08903481057918,"index",0.2,5
2018,487136.302223151,34375.6007550909,6903203.77625696,13.096299244267,1.35267635214288,"index",0.2,5
2019,27557.5258121453,1001.09535546518,758586.307229618,10.224030946502,1.69144991319662,"index",0.2,5
2021,51335.7724983012,5510.33094143475,478258.305355278,10.8461431077995,1.13867558949738,"index",0.2,5
2022,41570.5543464437,2187.92895853135,789838.711139243,10.6351473674102,1.50229121366481,"index",0.2,5
2023,744918.804282953,8498.35908753354,65295431.6543704,13.5210305038825,2.28238996422966,"index",0.2,5
2024,426210.103156998,40342.2677856387,4502846.81561123,12.9626877035675,1.20284489686398,"index",0.2,5
2003,11940.6668797888,1850.55288722741,77046.9876965823,9.38770523796552,0.951275391429741,"index",0.2,6
2004,28253.8316893207,4381.68284316859,182185.482998399,10.2489843623972,0.950933913454054,"index",0.2,6
2005,67151.1974416105,10435.1478206982,432124.527157915,11.1147020341321,0.94989860199033,"index",0.2,6
2006,187615.098088703,45928.2154530612,766400.886331143,12.1421477925329,0.718029964168887,"index",0.2,6
2007,16565.6405417086,3556.79004938952,77153.9626310525,9.71508598236602,0.784949238315247,"index",0.2,6
2008,17524.0583506702,3418.55416608991,89831.1409319986,9.77132997868573,0.833870933017889,"index",0.2,6
2009,17937.7565171695,2833.60857350044,113552.419299668,9.79466307300848,0.941525862150458,"index",0.2,6
2010,295263.930013142,82095.5385242203,1061943.07186481,12.5956249133468,0.653066062157131,"index",0.2,6
2011,87936.511937219,16690.6256051343,463303.791878594,11.3843703778274,0.847856333662824,"index",0.2,6
2012,341305.689608985,64723.6197671015,1799800.04484662,12.7405338051601,0.84830759057523,"index",0.2,6
2013,1660866.50311231,260011.38747929,10609064.3486921,14.3228500139701,0.946124174505919,"index",0.2,6
2014,33496.4348401086,5304.02069025895,211539.737968644,10.4191942894665,0.940310062464008,"index",0.2,6
2015,15332.0125804997,3989.95015381919,58915.6758120379,9.63769824703883,0.686831105381772,"index",0.2,6
2016,139125.944855798,35404.3809556023,546712.808120875,11.8431348799711,0.698249581876658,"index",0.2,6
2017,45737.0163370181,5665.59248989194,369224.342757584,10.7306632345138,1.06557900818257,"index",0.2,6
2018,211480.784809523,62532.7073614957,715211.67450988,12.2618894213767,0.621666731818674,"index",0.2,6
2019,84284.8378967759,11201.7570453029,634180.322832891,11.3419572689377,1.02967777001648,"index",0.2,6
2021,21842.89874433,4998.49826992721,95451.1134725268,9.99163114744021,0.752431350159479,"index",0.2,6
2022,23911.8724669856,2532.72268099709,225756.119755001,10.082130370518,1.14547013447796,"index",0.2,6
2023,28852.7888481114,6128.88590153288,135829.486417016,10.2699619344432,0.790419456436057,"index",0.2,6
2024,9436.45843683185,1543.58153774275,57688.399124203,9.15233602315748,0.923728889084404,"index",0.2,6
2003,1286.78379376425,36.3234605426935,45585.2087646804,7.15990120107065,1.8201545542452,"index",0.2,7
2004,53722.0101843998,3536.8266799299,816001.076510189,10.891578069602,1.38808310002416,"index",0.2,7
2005,5025.80139509715,501.877930194226,50328.3331330897,8.52234020182281,1.17552327329393,"index",0.2,7
2006,8821.89573561536,1569.55722062322,49584.5856063575,9.08499206191621,0.880854567762025,"index",0.2,7
2007,22064.9802901208,4929.7119926419,98761.0140166632,10.0017470284388,0.764662613329957,"index",0.2,7
2008,5029.71808324106,721.374103037099,35069.2711179585,8.52311921445372,0.990814810960073,"index",0.2,7
2009,35351.7590164916,7443.49249121909,167897.914458085,10.4731034301006,0.794916643287119,"index",0.2,7
2010,15832.1262029658,3287.82224098695,76237.7652240081,9.66979645863553,0.801961556069076,"index",0.2,7
2011,157637.847456085,42177.5022679693,589169.33470144,11.9680555764078,0.67267222793641,"index",0.2,7
2012,4148.771992542,647.724710791802,26573.4945098204,8.33056766402453,0.947518373608523,"index",0.2,7
2013,199424.323927045,28017.9042368989,1419451.67052798,12.2031901146622,1.00134038600006,"index",0.2,7
2014,53580.2612763985,13733.400279682,209041.048828557,10.8889360194659,0.694579037580449,"index",0.2,7
2015,58178.1933719947,13238.1165631477,255678.530090267,10.9712658791778,0.755325263638419,"index",0.2,7
2016,17970.8168269665,4362.3532797368,74031.2021331453,9.79650443377887,0.722328323965612,"index",0.2,7
2017,13080.7537049331,2174.04368506574,78704.084312799,9.47889724605237,0.91560513274828,"index",0.2,7
2018,35872.6948494948,7787.00234877966,165256.176655275,10.4877316959311,0.779361483565395,"index",0.2,7
2019,28630.1801024384,2156.40974787007,380116.632985768,10.2622166887618,1.31942053280357,"index",0.2,7
2021,7653.41414582306,1301.30734181449,45012.2320879326,8.94290712083287,0.903987241160534,"index",0.2,7
2022,14615.2451446824,2113.18803879997,101082.055509109,9.5898204509033,0.986685194786335,"index",0.2,7
2023,6421.31976780936,770.787478541029,53495.0926272272,8.76737894686699,1.08163531163741,"index",0.2,7
2024,90268.3807818097,14312.6067072573,569314.921847051,11.4105425206306,0.939632829664,"index",0.2,7
2003,101052552990011,0,Inf,32.2466618240806,40305.6607890837,"index",0.2,8
2004,89499484650782.2,0,Inf,32.125253983101,43399.6714819848,"index",0.2,8
2005,93311143315344.7,0,Inf,32.1669606519699,31427.2303447422,"index",0.2,8
2006,51255959863941.2,0,Inf,31.567853017214,21228.0325972357,"index",0.2,8
2007,21635679724717.4,0,Inf,30.7053649069403,22789.8652458073,"index",0.2,8
2008,13512161866706,0,Inf,30.2346112748402,32792.2634245424,"index",0.2,8
